Date first seen,Duration,Proto,Src IP Addr,Src Pt,Dst IP Addr,Dst Pt,Packets,Bytes,Flows,Flags,Tos
2017-03-24 07:56:47.082,0.178,TCP,192.168.220.15,37771,10196_197,443,3,198,1,.A...F,0
2017-03-28 09:31:41.898,0.0,TCP,10056_78,443,192.168.220.16,48488,1,66,1,.A....,32
2017-03-25 14:50:14.225,0.0,TCP,192.168.220.7,34509,10001_232,443,1,66,1,.A....,0
2017-03-24 18:41:15.574,0.0,TCP,10151_143,443,192.168.220.9,51590,1,54,1,.A....,32
2017-03-28 13:09:56.185,0.099,TCP,10118_111,443,192.168.220.15,57422,7,3847,1,.AP.SF,32
2017-03-23 04:38:58.340,0.0,TCP,15210_78,80,192.168.220.15,56210,1,74,1,.A..S.,32
2017-03-24 14:00:40.719,0.0,TCP,10063_33,80,192.168.220.15,57654,1,66,1,.A....,32
2017-03-22 07:48:35.300,0.223,TCP,192.168.220.6,39549,10695_32,443,14,1476,1,.AP.S.,0
2017-03-23 07:10:21.921,0.0,TCP,10901_39,443,192.168.220.7,51788,1,386,1,.AP...,32
2017-03-28 14:47:55.627,0.0,TCP,10057_29,80,192.168.220.5,47332,1,66,1,.A....,32
2017-03-23 03:22:25.691,0.0,TCP,15210_78,80,192.168.220.15,59855,1,66,1,.A...F,32
2017-03-23 03:46:22.278,0.065,TCP,192.168.220.15,51811,10667_208,443,7,942,1,.AP.S.,0
2017-03-27 12:46:29.503,0.0,TCP,11046_149,80,192.168.220.8,43058,1,66,1,.A....,32
2017-03-24 14:09:26.331,0.045,UDP,DNS,53,192.168.220.12,46237,2,396,1,......,0
2017-03-23 22:46:27.995,0.0,UDP,192.168.100.5,138,192.168.100.255,138,1,262,1,......,0
2017-03-23 16:31:27.850,0.437,TCP,192.168.220.4,47902,10361_87,80,5,1733,1,.AP.S.,0
2017-03-27 11:23:33.411,0.0,TCP,10320_171,80,192.168.220.16,56824,1,66,1,.A....,32
2017-03-28 17:06:57.964,0.0,TCP,10665_77,443,192.168.220.13,40772,2,120,1,.A.R..,32
2017-03-22 20:55:02.310,0.078,TCP,11014_185,443,192.168.220.15,39516,8,1251,1,.AP.S.,32
2017-03-22 18:24:17.107,0.0,TCP,10082_25,80,192.168.220.15,39932,1,66,1,.A....,32
2017-03-23 10:40:01.588,0.011,TCP,192.168.220.10,37819,10056_171,443,3,229,1,.AP..F,0
2017-03-23 03:32:27.336,0.0,TCP,192.168.220.15,47216,12795_19,443,1,66,1,.A....,0
2017-03-26 21:26:34.098,0.0,UDP,192.168.220.13,138,192.168.220.255,138,1,234,1,......,0
2017-03-23 18:57:37.663,0.0,TCP,10068_2,80,192.168.210.5,50965,1,66,1,.A....,32
2017-03-24 09:02:19.276,0.016,TCP,192.168.220.15,58305,12558_100,80,2,140,1,.A..S.,0
2017-03-28 11:11:10.927,0.009,UDP,192.168.220.9,48202,DNS,53,2,154,1,......,0
2017-03-24 12:05:01.588,0.0,UDP,DNS,53,192.168.220.13,41812,1,86,1,......,0
2017-03-24 10:13:11.772,0.0,TCP,10060_27,80,192.168.200.4,59143,1,66,1,.A...F,32
2017-03-25 18:01:46.019,0.0,TCP,13323_57,80,192.168.220.7,47393,1,66,1,.A...F,32
2017-03-23 03:52:55.807,0.025,TCP,192.168.220.15,49111,10296_238,443,3,564,1,.AP...,0
2017-03-22 14:02:27.665,0.0,TCP,10001_232,80,192.168.220.8,53003,1,66,1,.A....,0
2017-03-23 10:55:38.483,1.101,TCP,10609_250,443,192.168.220.15,33288,10,1410,1,.AP...,32
2017-03-23 15:08:15.854,0.0,TCP,10012_26,80,192.168.220.7,57597,1,66,1,.A....,32
2017-03-23 16:09:09.734,0.0,TCP,10068_10,80,192.168.200.8,54760,1,66,1,.A....,32
2017-03-23 14:01:30.182,0.0,TCP,10480_103,443,192.168.210.5,55117,2,139,1,.AP..F,32
2017-03-27 19:16:16.960,0.596,TCP,192.168.220.9,35030,10036_235,443,10,1523,1,.AP.S.,0
2017-03-23 11:55:51.008,0.476,TCP,10499_40,443,192.168.200.4,56424,37,49244,1,.AP.S.,32
2017-03-24 17:25:49.327,0.024,TCP,10776_200,443,192.168.210.5,63383,3,193,1,.AP..F,32
2017-03-22 22:52:12.011,0.0,TCP,10296_226,443,192.168.220.15,34043,2,178,1,.AP...,32
2017-03-27 08:43:49.343,0.0,TCP,11251_121,80,192.168.220.13,53022,1,66,1,.A....,32
2017-03-25 17:35:41.053,0.003,UDP,DNS,53,192.168.220.7,45638,2,374,1,......,0
2017-03-23 18:31:39.290,0.243,TCP,11197_133,443,192.168.220.15,56960,3,2789,1,.AP...,32
2017-03-24 13:07:41.688,0.0,TCP,192.168.220.8,32784,11552_93,443,1,66,1,.A....,0
2017-03-23 02:45:35.199,0.0,TCP,15210_78,80,192.168.220.15,49029,1,66,1,.A...F,32
2017-03-25 19:11:31.311,0.0,TCP,EXT_SERVER,8082,192.168.200.9,54997,1,200,1,.AP...,32
2017-03-27 21:37:51.937,0.0,TCP,192.168.100.5,445,192.168.220.6,40413,1,108,1,.AP...,0
2017-03-22 14:44:44.702,0.0,TCP,10227_38,443,192.168.200.5,49849,3,198,1,.A...F,32
2017-03-22 15:26:21.539,2.348,TCP,10796_85,443,192.168.220.9,43284,52,114569,1,.AP.S.,32
2017-03-24 10:07:38.588,0.102,TCP,11049_49,443,192.168.220.9,44753,30,60737,1,.AP.S.,32
2017-03-28 11:33:08.490,0.0,TCP,192.168.220.16,36555,10194_100,443,1,66,1,.A....,0
2017-03-24 13:48:40.618,0.0,TCP,192.168.200.9,53161,13451_17,443,1,54,1,.A.R..,0
2017-03-22 10:39:39.012,0.0,UDP,192.168.220.15,138,192.168.220.255,138,1,262,1,......,0
2017-03-22 15:33:28.258,0.057,TCP,192.168.220.13,51550,10270_15,80,6,2029,1,.AP.SF,0
2017-03-24 07:22:51.355,0.0,UDP,192.168.220.9,38573,DNS,53,2,174,1,......,0
2017-03-27 12:16:22.095,0.025,TCP,10108_7,80,192.168.220.15,41803,3,629,1,.AP.S.,0
2017-03-28 14:52:39.166,0.03,TCP,192.168.210.5,61643,10176_154,443,3,643,1,.AP...,0
2017-03-27 14:21:43.153,1.665,TCP,10704_24,80,192.168.220.14,55299,3,214,1,.A..SF,32
2017-03-24 10:09:11.729,0.0,TCP,12022_189,443,192.168.220.9,57012,1,66,1,.A....,32
2017-03-22 21:41:11.594,0.0,TCP,15273_225,80,192.168.220.15,46233,1,66,1,.A....,32
2017-03-22 10:01:05.310,0.046,TCP,192.168.220.7,49325,10068_34,443,3,318,1,.AP...,0
2017-03-22 14:12:44.294,0.0,TCP,10094_75,443,192.168.220.14,43028,1,66,1,.A....,32
2017-03-27 11:01:10.335,0.005,UDP,192.168.200.4,41543,DNS,53,2,158,1,......,0
2017-03-24 13:05:32.826,0.178,TCP,192.168.220.8,37591,10107_38,443,12,2203,1,.AP.S.,0
2017-03-22 10:47:10.125,0.0,TCP,192.168.220.7,42617,10056_253,443,1,66,1,.A....,0
2017-03-27 07:30:59.105,0.211,TCP,15906_239,443,192.168.220.4,54851,6,4001,1,.AP.S.,32
2017-03-22 21:42:16.281,0.0,UDP,192.168.220.15,33141,DNS,53,2,144,1,......,0
2017-03-27 17:53:21.727,0.337,TCP,10946_2,443,192.168.210.5,60508,26,66170,1,.AP...,32
2017-03-24 13:23:36.732,0.0,TCP,192.168.220.15,39994,11357_172,443,2,108,1,...R..,32
2017-03-27 11:13:33.230,0.133,TCP,192.168.100.6,80,192.168.220.14,55140,12,12897,1,.AP.S.,0
2017-03-23 13:21:34.065,0.0,TCP,192.168.220.16,38793,10171_252,443,1,66,1,.A....,0
2017-03-27 14:50:41.679,0.0,TCP,192.168.220.14,56395,10077_156,80,1,66,1,.A....,0
2017-03-24 13:14:12.144,0.0,UDP,192.168.220.15,41088,DNS,53,2,160,1,......,0
2017-03-28 15:26:15.577,0.0,TCP,10001_37,443,192.168.220.16,33697,4,295,1,.AP..F,0
2017-03-25 13:01:40.263,0.004,TCP,10077_154,80,192.168.220.7,49671,4,926,1,.AP...,32
2017-03-27 10:11:07.067,0.245,TCP,192.168.220.8,43601,10135_16,443,7,1751,1,.AP.S.,0
2017-03-24 09:16:10.811,0.0,UDP,192.168.220.14,138,192.168.220.255,138,1,234,1,......,0
2017-03-23 02:00:21.140,0.023,TCP,192.168.220.15,55597,10001_230,80,2,132,1,.A...F,0
2017-03-25 13:11:40.787,0.005,UDP,192.168.220.7,32905,DNS,53,2,160,1,......,0
2017-03-23 08:40:58.718,1.194,TCP,10222_218,443,192.168.220.4,52391,7,5993,1,.AP.S.,32
2017-03-22 18:13:26.059,0.061,TCP,10199_3,443,192.168.220.15,35313,3,374,1,.AP...,32
2017-03-22 19:44:37.470,0.0,TCP,192.168.220.15,45015,10022_249,80,1,66,1,.A....,0
2017-03-22 19:37:33.722,0.562,TCP,192.168.210.5,49372,14172_201,443,4,601,1,.AP...,0
2017-03-23 15:25:34.314,0.0,TCP,192.168.220.4,54826,10438_216,80,1,54,1,.A....,0
2017-03-24 06:50:53.027,0.0,UDP,192.168.220.4,44058,DNS,53,1,74,1,......,0
2017-03-28 11:54:48.546,0.261,TCP,192.168.220.15,45332,10004_36,443,16,2058,1,.AP.S.,0
2017-03-25 18:22:31.193,0.0,TCP,10056_140,443,192.168.220.14,43558,1,66,1,.A....,32
2017-03-24 15:10:20.672,0.051,TCP,192.168.200.8,54600,10118_55,80,5,815,1,.AP.SF,0
2017-03-22 08:44:24.715,0.088,TCP,10578_48,443,192.168.220.15,46633,4,4096,1,.AP.S.,32
2017-03-27 09:54:50.532,0.0,TCP,192.168.220.15,35560,10227_32,80,1,66,1,.A....,0
2017-03-28 15:17:14.494,0.0,TCP,10791_194,443,192.168.220.15,37191,1,66,1,.A....,0
2017-03-28 01:30:07.094,0.001,TCP,192.168.220.9,48209,192.168.100.5,445,2,174,1,.AP...,0
2017-03-28 10:40:19.358,0.0,TCP,10800_19,443,192.168.220.11,60143,1,112,1,.AP...,32
2017-03-28 09:33:18.338,0.0,UDP,192.168.220.9,60795,DNS,53,2,144,1,......,0
2017-03-24 17:05:50.064,0.0,UDP,192.168.220.8,35688,DNS,53,2,168,1,......,0
2017-03-22 10:10:39.001,0.0,TCP,192.168.220.14,36600,10784_4,443,2,163,1,.AP..F,0
2017-03-24 03:05:35.759,0.0,TCP,11027_34,443,192.168.210.5,59979,1,100,1,.AP...,32
2017-03-23 00:19:32.136,0.051,TCP,192.168.220.15,56035,10296_238,80,4,701,1,.AP.S.,0
2017-03-28 10:37:20.947,0.0,TCP,15639_197,443,192.168.220.11,35574,1,66,1,.A....,32
2017-03-22 06:20:10.280,0.224,TCP,192.168.200.9,51272,10012_74,80,2,937,1,.AP...,0
2017-03-22 07:26:13.414,0.013,TCP,192.168.220.11,50352,10160_102,443,3,229,1,.AP..F,0
2017-03-28 17:10:09.896,0.0,TCP,192.168.220.14,50281,10068_14,80,1,66,1,.A....,0
2017-03-24 16:54:16.373,0.182,TCP,192.168.200.8,64593,10311_147,443,4,796,1,.AP.S.,0
2017-03-23 07:15:03.874,0.002,UDP,192.168.220.15,44210,DNS,53,2,156,1,......,0
2017-03-27 13:16:59.480,0.024,TCP,192.168.210.5,65442,10321_204,443,3,193,1,.APR.F,0
2017-03-24 13:43:23.326,0.0,TCP,10688_158,80,192.168.220.15,45901,1,74,1,.A..S.,32
2017-03-27 16:05:24.367,0.0,TCP,11780_205,443,192.168.200.8,57912,1,100,1,.AP...,0
2017-03-24 11:30:27.842,0.042,TCP,192.168.220.13,54993,10713_17,80,3,198,1,.A...F,0
2017-03-28 11:26:48.086,0.0,UDP,192.168.220.13,45167,DNS,53,2,166,1,......,0
2017-03-28 11:59:30.952,0.0,UDP,192.168.200.9,56461,DNS,53,1,84,1,......,0
2017-03-22 10:34:22.111,1.352,TCP,192.168.210.4,51222,10199_14,80,4,1660,1,.AP...,0
2017-03-23 12:31:57.688,0.0,TCP,10499_46,80,192.168.200.4,35145,1,66,1,.A....,32
2017-03-23 09:12:06.356,0.007,UDP,192.168.220.15,43948,DNS,53,2,148,1,......,0
2017-03-24 13:19:18.103,0.0,TCP,11733_120,443,192.168.220.11,55175,1,66,1,.A....,32
2017-03-23 12:19:30.753,0.003,TCP,192.168.200.8,63440,11014_185,443,2,108,1,.A...F,0
2017-03-23 06:20:51.981,0.306,TCP,192.168.220.15,55622,10619_191,443,10,1083,1,.AP...,0
2017-03-24 15:17:38.723,0.176,TCP,13832_215,80,192.168.200.8,55868,3,174,1,.A...F,32
2017-03-27 10:28:53.604,0.0,TCP,10081_164,80,192.168.220.14,55085,1,899,1,.AP...,0
2017-03-28 15:51:13.328,1.096,TCP,192.168.220.11,42546,10135_60,443,17,5736,1,.AP.S.,0
2017-03-22 14:36:41.266,3.617,TCP,192.168.200.8,59931,10199_14,80,14,3432,1,.AP.S.,0
2017-03-23 08:33:17.405,0.034,TCP,192.168.220.11,34907,10296_230,443,3,427,1,.AP...,0
2017-03-27 14:05:01.261,0.0,TCP,192.168.220.14,60894,10086_192,80,1,66,1,.A....,0
2017-03-24 16:53:35.361,0.467,TCP,10195_190,80,192.168.200.8,64244,7,4610,1,.AP.S.,32
2017-03-24 18:12:32.503,0.004,TCP,10078_100,80,192.168.220.15,55285,2,835,1,.AP...,0
2017-03-28 15:07:10.274,0.0,TCP,192.168.200.4,58115,10058_155,443,1,66,1,.A....,0
2017-03-23 08:32:13.994,1.402,TCP,192.168.220.11,56380,10022_249,443,3,526,1,.AP...,0
2017-03-22 21:35:14.747,0.0,TCP,192.168.220.15,34481,10081_164,443,1,66,1,.A....,0
2017-03-23 16:33:11.451,0.005,UDP,192.168.220.4,51284,DNS,53,2,164,1,......,0
2017-03-22 17:22:27.382,0.074,TCP,10199_3,443,192.168.220.14,36994,5,528,1,.AP...,32
2017-03-22 22:46:21.148,0.0,UDP,192.168.220.15,51038,DNS,53,1,74,1,......,0
2017-03-24 19:18:40.172,0.0,TCP,10342_182,80,192.168.200.8,57927,1,54,1,.A....,32
2017-03-28 10:05:01.400,0.0,TCP,192.168.220.4,57309,10719_52,80,1,66,1,.A....,0
2017-03-23 16:13:33.205,0.0,TCP,10001_8,443,192.168.220.6,51097,1,66,1,.A....,0
2017-03-28 09:59:04.379,0.0,TCP,10100_133,80,192.168.220.15,41400,1,54,1,.A....,32
2017-03-27 16:15:00.127,0.077,TCP,10163_21,443,192.168.220.16,60743,8,5152,1,.AP.S.,0
2017-03-28 17:27:17.773,0.0,UDP,DNS,53,192.168.200.8,62673,1,155,1,......,0
2017-03-24 12:27:56.232,0.0,TCP,192.168.220.12,54066,10056_20,443,1,66,1,.A....,0
2017-03-23 09:05:53.714,1.07,TCP,192.168.220.11,55227,10088_9,80,19,10441,1,.AP.S.,0
2017-03-23 12:50:19.270,0.0,TCP,192.168.220.6,37767,10434_207,443,1,66,1,.A....,0
2017-03-28 11:32:53.240,0.003,ICMP,192.168.220.9,0,DNS,3,3,429,1,......,192
2017-03-23 16:30:18.477,0.0,UDP,192.168.220.13,54449,DNS,53,1,76,1,......,0
2017-03-28 17:26:19.134,1.461,TCP,192.168.200.9,62681,12007_177,443,11,2000,1,.AP.S.,0
2017-03-23 19:30:32.695,0.155,TCP,10088_9,80,192.168.210.5,55999,8,4117,1,.AP...,32
2017-03-22 18:33:26.868,0.024,TCP,192.168.220.15,36553,10199_14,443,3,577,1,.AP...,0
2017-03-27 11:56:38.799,0.041,TCP,192.168.220.15,52235,10499_42,443,6,577,1,.AP...,0
2017-03-23 04:05:28.007,0.044,TCP,192.168.220.15,50903,11014_185,443,5,930,1,.AP.S.,0
2017-03-23 18:30:25.347,0.044,TCP,10132_239,80,192.168.200.9,64690,6,2603,1,.AP.SF,32
2017-03-23 10:51:36.793,0.0,TCP,10330_85,80,192.168.210.5,62423,1,66,1,.A....,32
2017-03-24 17:53:11.568,2.171,TCP,15373_234,80,192.168.220.13,55131,5,1495,1,.AP...,32
2017-03-22 18:53:09.560,0.012,TCP,192.168.220.9,48721,10057_29,80,2,563,1,.AP...,0
2017-03-24 15:54:54.864,0.003,UDP,192.168.220.16,55011,DNS,53,2,164,1,......,0
2017-03-23 00:10:19.614,0.021,TCP,192.168.220.15,48842,15210_78,80,2,132,1,.A...F,0
2017-03-27 09:14:34.742,1.222,TCP,10264_166,443,192.168.220.4,52092,7,5289,1,.AP.SF,32
2017-03-23 12:09:11.320,0.0,TCP,10184_177,443,192.168.220.15,60755,1,66,1,.A....,32
2017-03-23 16:51:26.261,0.001,UDP,192.168.220.6,45494,DNS,53,2,146,1,......,0
2017-03-23 02:58:31.106,0.0,TCP,15210_78,80,192.168.220.15,35017,1,66,1,.A...F,32
2017-03-28 15:59:17.579,0.187,TCP,10145_115,443,192.168.220.15,34798,8,4319,1,.AP.S.,32
2017-03-23 16:10:08.481,0.0,TCP,192.168.220.6,47490,10082_188,80,1,66,1,.A....,0
2017-03-23 11:41:35.796,0.264,TCP,11944_239,443,192.168.200.8,58815,3,205,1,.AP..F,32
2017-03-27 15:18:51.726,0.654,TCP,10135_153,443,192.168.200.9,62405,10,10125,1,.AP.S.,32
2017-03-23 14:49:14.548,0.0,TCP,192.168.220.4,42014,10191_163,443,2,108,1,...R..,32
2017-03-23 13:32:38.442,0.0,TCP,10056_15,443,192.168.220.11,54456,1,54,1,.A....,32
2017-03-23 05:15:12.402,0.0,TCP,10796_85,443,192.168.220.15,41654,1,951,1,.AP...,32
2017-03-24 15:39:55.645,0.267,TCP,192.168.200.8,57290,15283_217,80,4,644,1,.AP.S.,0
2017-03-28 14:19:28.846,0.0,TCP,192.168.220.15,58189,10060_27,80,1,66,1,.A....,0
2017-03-24 07:01:40.574,0.0,TCP,192.168.220.4,57069,10263_186,443,2,108,1,.A...F,0
2017-03-26 22:36:54.781,0.0,TCP,EXT_SERVER,8082,192.168.200.8,59301,1,200,1,.AP...,32
2017-03-28 06:05:51.205,0.0,TCP,192.168.100.5,445,192.168.200.4,53028,1,108,1,.AP...,0
2017-03-28 17:04:55.098,0.0,UDP,192.168.220.14,57364,DNS,53,2,154,1,......,0
2017-03-26 09:16:33.240,0.545,TCP,192.168.200.8,51377,15877_48,443,12,1691,1,.AP.S.,0
2017-03-23 14:20:19.186,0.045,UDP,192.168.220.7,41010,DNS,53,2,178,1,......,0
2017-03-24 10:13:12.639,0.0,TCP,15282_53,443,192.168.220.9,37060,1,66,1,.A....,32
2017-03-24 07:47:27.920,0.104,TCP,192.168.220.9,34501,11471_173,443,3,198,1,.A...F,0
2017-03-25 08:55:08.552,0.0,TCP,192.168.220.7,54195,10056_201,443,1,66,1,.A....,0
2017-03-23 10:11:21.845,0.0,TCP,10252_2,80,192.168.220.5,56630,1,54,1,.A....,32
2017-03-25 17:28:18.752,0.023,TCP,192.168.220.7,48333,10118_55,80,2,140,1,.A..S.,0
2017-03-22 17:25:26.021,0.0,TCP,10081_164,443,192.168.220.4,57142,1,66,1,.A....,0
2017-03-28 14:51:19.308,0.0,TCP,192.168.220.8,51555,10065_139,443,1,66,1,.A.R..,0
2017-03-24 14:27:24.351,0.0,TCP,10499_35,80,192.168.220.10,34409,1,74,1,.A..S.,32
2017-03-22 23:07:45.418,0.0,UDP,DNS,53,192.168.220.15,43881,2,388,1,......,0
2017-03-23 11:39:14.051,0.0,TCP,10313_80,80,192.168.220.7,33479,1,66,1,.A....,32
2017-03-24 10:16:01.912,0.0,TCP,10795_14,443,192.168.220.13,48779,1,66,1,.A....,32
2017-03-24 10:33:18.168,0.0,TCP,192.168.200.8,60717,10082_59,80,1,55,1,.A....,0
2017-03-28 15:51:18.793,0.042,TCP,192.168.220.11,33904,15723_133,80,4,1362,1,.AP.S.,0
2017-03-27 09:39:15.618,0.226,TCP,192.168.210.5,59386,11081_15,443,2,149,1,.AP...,0
2017-03-23 17:20:55.024,0.0,TCP,10082_71,80,192.168.200.9,59639,1,66,1,.A....,32
2017-03-23 10:21:28.708,0.0,TCP,10022_249,80,192.168.220.11,45628,1,66,1,.A....,32
2017-03-27 12:29:25.947,0.016,TCP,192.168.220.4,51576,10004_36,443,3,841,1,.AP...,0
2017-03-27 13:30:29.009,0.0,UDP,DNS,53,192.168.210.4,53596,1,163,1,......,0
2017-03-27 15:20:02.453,0.0,TCP,11744_144,80,192.168.220.16,43962,1,66,1,.A....,0
2017-03-28 14:20:46.923,0.0,TCP,10056_204,443,192.168.220.15,42640,1,66,1,.A...F,32
2017-03-22 09:56:39.590,0.58,TCP,10004_36,443,192.168.220.13,56474,5,622,1,.AP..F,32
2017-03-27 09:53:43.004,0.016,TCP,192.168.220.15,50415,10028_84,80,2,132,1,.A...F,0
2017-03-24 12:57:37.178,0.0,UDP,192.168.200.8,53387,DNS,53,1,78,1,......,0
2017-03-23 09:56:03.717,0.0,TCP,192.168.220.7,51844,10859_60,443,1,66,1,.A....,0
2017-03-27 11:29:18.133,0.0,TCP,192.168.100.5,445,192.168.220.16,36743,1,108,1,.AP...,0
2017-03-24 17:00:31.492,0.0,TCP,10098_125,80,192.168.220.16,49876,1,66,1,.A....,32
2017-03-23 16:09:50.877,0.0,TCP,192.168.220.9,41004,10056_56,443,1,66,1,.A....,0
2017-03-27 13:49:22.804,0.087,TCP,11014_185,443,192.168.220.14,45871,8,1251,1,.AP.S.,32
2017-03-24 13:52:57.901,0.0,TCP,11326_142,443,192.168.220.5,45184,1,66,1,.A....,32
2017-03-28 11:14:50.459,0.001,UDP,DNS,53,192.168.220.16,37737,2,264,1,......,0
2017-03-25 22:27:05.854,0.002,TCP,192.168.220.9,50314,192.168.100.5,445,2,174,1,.AP...,0
2017-03-22 10:03:43.392,1.822,TCP,192.168.220.11,36934,10081_164,443,4,1073,1,.AP...,0
2017-03-23 01:44:33.492,0.04,TCP,192.168.220.15,36233,10321_204,443,5,906,1,.AP.S.,0
2017-03-24 10:08:44.139,0.0,TCP,10056_29,443,192.168.220.9,46847,1,66,1,.A....,32
2017-03-23 10:39:47.219,0.0,TCP,192.168.200.5,34401,13717_66,80,1,66,1,.A....,0
2017-03-27 16:54:11.899,0.001,UDP,DNS,53,192.168.220.6,48143,2,276,1,......,0
2017-03-24 09:49:43.782,0.094,TCP,11370_74,80,192.168.200.9,49250,3,751,1,.AP.S.,32
2017-03-22 15:19:44.937,0.0,TCP,192.168.220.7,33974,10060_27,80,1,66,1,.A....,0
2017-03-23 11:32:01.926,0.094,TCP,10532_205,80,192.168.220.7,34782,4,6769,1,.AP...,32
