CompanyId,Industry,PeriodIndex,Revenue,COGS,GrossProfit,NetProfit,Purchases,Cash_Begin,Cash_End,Inventory_Begin,Inventory_End,AccountsReceivable,OtherAssets,TotalAssets,TotalLiabilities,TotalEquity,InventoryNetInflow,InventoryToAssetsBp,ReceivableToRevenueBp
CONS006,consulting,4,23099,14340,8759,3445,14335,6208,6147,243,238,4635,16202,27222,14249,12973,-5,87,2007
CONS006,consulting,5,23561,14729,8832,3213,14739,6147,8075,238,248,4817,14626,27766,14534,13232,10,89,2044
CONS006,consulting,6,23936,14741,9195,3205,14769,8075,7134,248,276,4967,15831,28208,14765,13443,28,98,2075
CONS006,consulting,7,24785,15382,9403,4136,15387,7134,5618,276,281,5169,18141,29209,15289,13920,5,96,2086
CONS006,consulting,8,25843,16224,9619,2786,16231,5618,8227,281,288,5559,16382,30456,15942,14514,7,95,2151
CONS007,consulting,1,56669,34754,21915,11698,34846,12900,14844,733,825,10734,30547,56950,21158,35792,92,145,1894
CONS007,consulting,2,59246,36735,22511,8775,36752,14844,14646,825,842,10959,33093,59540,22120,37420,17,141,1850
CONS007,consulting,3,62199,37941,24258,12841,37975,14646,9313,842,876,11539,40780,62508,23223,39285,34,140,1855
CONS007,consulting,4,63853,39677,24176,11660,39718,9313,18144,876,917,11614,33495,64170,23840,40330,41,143,1819
CONS007,consulting,5,65213,39676,25537,9174,39706,18144,12930,917,947,11669,39991,65537,24348,41189,30,144,1789
CONS007,consulting,6,65936,40908,25028,9135,40937,12930,19651,947,976,12019,33617,66263,24618,41645,29,147,1823
CONS007,consulting,7,67305,40908,26397,9580,40911,19651,24233,976,979,12324,30103,67639,25129,42510,3,145,1831
CONS007,consulting,8,69538,42249,27289,12038,42208,24233,10392,979,938,13249,45304,69883,25962,43921,-41,134,1905
CONS008,consulting,1,31625,16976,14649,7096,17048,15775,15378,469,541,5703,18863,40485,22562,17923,72,134,1803
CONS008,consulting,2,32253,17110,15143,6810,17108,15378,12036,541,539,5868,22846,41289,23010,18279,-2,131,1819
CONS008,consulting,3,32496,17207,15289,4478,17206,12036,13652,539,538,5420,21990,41600,23184,18416,-1,129,1668
CONS008,consulting,4,32640,17277,15363,3866,17321,13652,5940,538,582,5310,29952,41784,23286,18498,44,139,1627
CONS008,consulting,5,33258,17662,15596,4167,17644,5940,14074,582,564,5952,21986,42576,23728,18848,-18,132,1790
CONS008,consulting,6,34603,18392,16211,4248,18448,14074,7893,564,620,6185,29599,44297,24687,19610,56,140,1787
CONS008,consulting,7,35339,18935,16404,8290,18951,7893,7555,620,636,6169,30880,45240,25212,20028,16,141,1746
CONS008,consulting,8,36546,19764,16782,9130,19751,7555,13246,636,623,6438,26478,46785,26073,20712,-13,133,1762
CONS009,consulting,1,53976,33808,20168,9786,33858,15888,18074,870,920,9497,38106,66597,39394,27203,50,138,1759
CONS009,consulting,2,55764,34822,20942,9314,34808,18074,24987,920,906,10081,32829,68803,40699,28104,-14,132,1808
CONS009,consulting,3,56758,35255,21503,6145,35252,24987,11247,906,903,10004,47876,70030,41424,28606,-3,129,1763
CONS009,consulting,4,57543,35930,21613,9518,35945,11247,16352,903,918,10300,43428,70998,41997,29001,15,129,1790
CONS009,consulting,5,58500,36609,21891,5710,36643,16352,16834,918,952,10127,44266,72179,42696,29483,34,132,1731
CONS009,consulting,6,59726,37369,22357,10298,37387,16834,21381,952,970,10637,40704,73692,43591,30101,18,132,1781
CONS009,consulting,7,61557,38425,23132,8777,38481,21381,21614,970,1026,10942,42369,75951,44927,31024,56,135,1778
CONS009,consulting,8,63086,39181,23905,12582,39200,21614,19617,1026,1045,11640,45535,77837,46042,31795,19,134,1845
CONS010,consulting,1,51544,27900,23644,8281,28003,11507,11524,724,827,11130,35674,59155,35940,23215,103,140,2159
CONS010,consulting,2,51296,27778,23518,6963,27850,11524,15456,827,899,11170,31345,58870,35767,23103,72,153,2178
CONS010,consulting,3,50982,27985,22997,11076,27989,15456,11160,899,903,11737,34710,58510,35548,22962,4,154,2302
CONS010,consulting,4,51790,28146,23644,5987,28106,11160,10002,903,863,11556,37016,59437,36112,23325,-40,145,2231
CONS010,consulting,5,52956,29239,23717,12967,29237,10002,15171,863,861,12023,32720,60775,36924,23851,-2,142,2270
CONS010,consulting,6,55025,29654,25371,9331,29685,15171,8734,861,892,12066,41458,63150,38367,24783,31,141,2193
CONS010,consulting,7,57537,31520,26017,7916,31595,8734,22285,892,967,12274,30507,66033,40119,25914,75,146,2133
CONS010,consulting,8,58756,32376,26380,11236,32378,22285,15951,967,969,12933,37579,67432,40969,26463,2,144,2201
CONS011,consulting,1,41155,25665,15490,5445,25676,10866,10826,461,472,12584,25902,49784,22519,27265,11,95,3058
CONS011,consulting,2,43358,26729,16629,8399,26800,10826,9736,472,543,13299,28870,52448,23724,28724,71,104,3067
CONS011,consulting,3,45269,27887,17382,9129,27840,9736,13757,543,496,13714,26793,54760,24770,29990,-47,91,3029
CONS011,consulting,4,46426,28743,17683,9341,28764,13757,11926,496,517,13718,29999,56160,25404,30756,21,92,2955
CONS011,consulting,5,47337,29111,18226,8401,29104,11926,14464,517,510,14226,28062,57262,25902,31360,-7,89,3005
CONS011,consulting,6,49375,30347,19028,9914,30414,14464,16052,510,577,15316,27782,59727,27017,32710,67,97,3102
CONS011,consulting,7,52158,31922,20236,9505,31994,16052,13238,577,649,15504,33702,63093,28540,34553,72,103,2973
CONS011,consulting,8,54658,33564,21094,7097,33606,13238,17850,649,691,17199,30378,66118,29908,36210,42,105,3147
CONS012,consulting,1,10129,5171,4958,2420,5191,3430,3395,125,145,1905,7327,12772,6423,6349,20,114,1881
CONS012,consulting,2,10782,5443,5339,1413,5432,3395,2091,145,134,2019,9351,13595,6837,6758,-11,99,1873
CONS012,consulting,3,11404,5777,5627,2655,5802,2091,4673,134,159,2248,7300,14380,7231,7149,25,111,1971
CONS012,consulting,4,11730,6032,5698,1432,6033,4673,3750,159,160,2311,8570,14791,7438,7353,1,108,1970
CONS012,consulting,5,12155,6291,5864,2648,6291,3750,2825,160,160,2403,9939,15327,7708,7619,0,104,1977
CONS012,consulting,6,12737,6527,6210,2652,6547,2825,3636,160,180,2367,9878,16061,8077,7984,20,112,1858
CONS012,consulting,7,13141,6621,6520,2299,6609,3636,5120,180,168,2385,8897,16570,8333,8237,-12,101,1815
CONS012,consulting,8,13710,6883,6827,1987,6893,5120,4686,168,178,2577,9846,17287,8693,8594,10,103,1880
CONS013,consulting,1,28403,13422,14981,3825,13462,9233,10050,450,490,7364,19478,37382,18723,18659,40,131,2593
CONS013,consulting,2,28791,13331,15460,5185,13379,10050,12445,490,538,7660,17249,37892,18979,18913,48,142,2661
CONS013,consulting,3,29067,13754,15313,7238,13769,12445,9809,538,553,7727,20167,38256,19161,19095,15,145,2658
CONS013,consulting,4,29762,14095,15667,4647,14067,9809,12722,553,525,7788,18135,39170,19619,19551,-28,134,2617
CONS013,consulting,5,30288,14217,16071,6131,14261,12722,9105,525,569,8205,21984,39863,19966,19897,44,143,2709
CONS013,consulting,6,31571,14762,16809,8174,14788,9105,6645,569,595,8628,25683,41551,20811,20740,26,143,2733
CONS013,consulting,7,32832,15653,17179,6937,15665,6645,9404,595,607,9007,24193,43211,21643,21568,12,140,2743
CONS013,consulting,8,33403,15467,17936,5808,15439,9404,5909,607,579,8553,28921,43962,22019,21943,-28,132,2561
CONS014,consulting,1,10650,5900,4750,1749,5911,1072,1229,113,124,2301,6939,10593,5639,4954,11,117,2161
CONS014,consulting,2,10955,6191,4764,1667,6199,1229,2335,124,132,2408,6021,10896,5800,5096,8,121,2198
CONS014,consulting,3,11398,6289,5109,1649,6290,2335,2568,132,133,2467,6169,11337,6035,5302,1,117,2164
CONS014,consulting,4,11895,6679,5216,1380,6686,2568,2586,133,140,2719,6386,11831,6298,5533,7,118,2286
CONS014,consulting,5,12450,7007,5443,2861,7008,2586,1466,140,141,2649,8127,12383,6592,5791,1,114,2128
CONS014,consulting,6,12792,7223,5569,1796,7229,1466,3121,141,147,2845,6610,12723,6773,5950,6,116,2224
CONS014,consulting,7,13203,7283,5920,2580,7285,3121,1985,147,149,2998,8000,13132,6991,6141,2,113,2271
CONS014,consulting,8,13760,7589,6171,2384,7601,1985,3437,149,161,3143,6945,13686,7286,6400,12,118,2284
CONS015,consulting,1,24557,11636,12921,3346,11668,3258,3689,294,326,7162,20003,31180,14711,16469,32,105,2916
CONS015,consulting,2,25264,11852,13412,6934,11883,3689,7951,326,357,7489,16280,32077,15134,16943,31,111,2964
CONS015,consulting,3,25626,12253,13373,5378,12256,7951,11033,357,360,7523,13621,32537,15351,17186,3,111,2936
CONS015,consulting,4,25645,12314,13331,3840,12330,11033,10247,360,376,7740,14198,32561,15362,17199,16,115,3018
CONS015,consulting,5,26354,12436,13918,3690,12426,10247,8310,376,366,7789,16996,33461,15787,17674,-10,109,2956
CONS015,consulting,6,26892,12635,14257,6112,12655,8310,5692,366,386,7811,20255,34144,16109,18035,20,113,2905
CONS015,consulting,7,27946,13313,14633,5397,13315,5692,9425,386,388,8417,17253,35483,16741,18742,2,109,3012
CONS015,consulting,8,29190,13760,15430,5798,13786,9425,8403,388,414,9042,19203,37062,17486,19576,26,112,3098
CONS016,consulting,1,29214,18261,10953,3325,18310,8746,8471,358,407,7668,12307,28853,11279,17574,49,141,2625
CONS016,consulting,2,29644,18631,11013,4006,18664,8471,6440,407,440,7731,14666,29277,11444,17833,33,150,2608
CONS016,consulting,3,30548,19071,11477,3229,19087,6440,9239,440,456,7779,12696,30170,11793,18377,16,151,2546
CONS016,consulting,4,31920,19894,12026,5689,19880,9239,3639,456,442,7895,19549,31525,12323,19202,-14,140,2473
CONS016,consulting,5,33775,21277,12498,4604,21336,3639,5908,442,501,8815,18133,33357,13039,20318,59,150,2610
CONS016,consulting,6,35505,22251,13254,7033,22259,5908,7401,501,509,9063,18093,35066,13707,21359,8,145,2553
CONS016,consulting,7,36591,23051,13540,4047,23066,7401,9459,509,524,8996,17159,36138,14126,22012,15,145,2459
CONS016,consulting,8,37467,23257,14210,6765,23260,9459,11306,524,527,9187,15983,37003,14464,22539,3,142,2452
CONS017,consulting,1,35145,20588,14557,5803,20642,6657,7324,348,402,7126,25121,39973,22679,17294,54,101,2028
CONS017,consulting,2,35996,20859,15137,8245,20865,7324,14383,402,408,7538,18612,40941,23228,17713,6,100,2094
CONS017,consulting,3,36334,21484,14850,4145,21448,14383,13589,408,372,7295,20069,41325,23446,17879,-36,90,2008
CONS017,consulting,4,37145,21723,15422,4597,21722,13589,14050,372,371,7235,20591,42247,23969,18278,-1,88,1948
CONS017,consulting,5,38213,22230,15983,5937,22250,14050,13433,371,391,7534,22104,43462,24658,18804,20,90,1972
CONS017,consulting,6,39747,23458,16289,8451,23520,13433,6685,391,453,7637,30432,45207,25649,19558,62,100,1921
CONS017,consulting,7,40807,23666,17141,6599,23622,6685,8479,453,409,8080,29445,46413,26333,20080,-44,88,1980
CONS017,consulting,8,42293,24525,17768,7272,24593,8479,8827,409,477,8311,30488,48103,27292,20811,68,99,1965
CONS018,consulting,1,54175,31983,22192,6425,32064,20785,21962,534,615,17287,28448,68312,33818,34494,81,90,3191
CONS018,consulting,2,56764,33844,22920,7471,33876,21962,8439,615,647,17856,44634,71576,35434,36142,32,90,3146
CONS018,consulting,3,58208,34003,24205,9428,33992,8439,14583,647,636,18776,39402,73397,36336,37061,-11,87,3226
CONS018,consulting,4,59869,35672,24197,11433,35771,14583,16041,636,735,19563,39152,75491,37372,38119,99,97,3268
CONS018,consulting,5,60781,35502,25279,8916,35434,16041,22153,735,667,18928,34893,76641,37941,38700,-68,87,3114
CONS018,consulting,6,62365,36597,25768,13583,36671,22153,16398,667,741,19623,41877,78639,38931,39708,74,94,3146
CONS018,consulting,7,64434,38583,25851,6944,38633,16398,17276,741,791,20362,42819,81248,40222,41026,50,97,3160
CONS018,consulting,8,65535,39085,26450,13927,39051,17276,14996,791,757,20857,46026,82636,40909,41727,-34,92,3183
CONS019,consulting,1,39184,20336,18848,4940,20380,13798,13799,489,533,11070,19233,44635,16693,27942,44,119,2825
CONS019,consulting,2,40909,20999,19910,10637,21021,13799,9079,533,555,11113,25853,46600,17428,29172,22,119,2717
CONS019,consulting,3,42870,22094,20776,8366,22113,9079,15305,555,574,12003,20952,48834,18263,30571,19,118,2800
CONS019,consulting,4,44479,22749,21730,8301,22752,15305,7118,574,577,12176,30796,50667,18949,31718,3,114,2737
CONS019,consulting,5,45289,23149,22140,5666,23186,7118,9508,577,614,12629,28838,51589,19293,32296,37,119,2789
CONS019,consulting,6,45779,23318,22461,10115,23342,9508,7387,614,638,12384,31738,52147,19502,32645,24,122,2705
CONS019,consulting,7,46214,24012,22202,11614,23969,7387,8251,638,595,12898,30899,52643,19688,32955,-43,113,2791
CONS019,consulting,8,47110,24054,23056,7529,24123,8251,13476,595,664,13087,26437,53664,20069,33595,69,124,2778
CONS020,consulting,1,43642,25180,18462,9345,25249,9089,9588,609,678,10590,21009,41865,22104,19761,69,162,2427
CONS020,consulting,2,45772,26611,19161,10101,26630,9588,12947,678,697,11086,19179,43909,23183,20726,19,159,2422
CONS020,consulting,3,48536,27899,20637,8135,27980,12947,9805,697,778,11610,24367,46560,24583,21977,81,167,2392
CONS020,consulting,4,50374,29036,21338,9085,29029,9805,9831,778,771,11541,26180,48323,25514,22809,-7,160,2291
CONS020,consulting,5,51556,29576,21980,5545,29639,9831,9257,771,834,11719,27647,49457,26112,23345,63,169,2273
CONS020,consulting,6,53514,30679,22835,6501,30651,9257,10071,834,806,12813,27646,51336,27105,24231,-28,157,2394
CONS020,consulting,7,56443,32942,23501,10244,32988,10071,17270,806,852,13118,22905,54145,28588,25557,46,157,2324
CONS020,consulting,8,60059,35171,24888,8243,35224,17270,17577,852,905,14400,24732,57614,30419,27195,53,157,2398
CONS021,consulting,1,17171,8944,8227,4523,8956,2431,2442,156,168,5375,11236,19221,9330,9891,12,87,3130
CONS021,consulting,2,18014,9489,8525,2263,9491,2442,5120,168,170,5435,9440,20165,9788,10377,2,84,3017
CONS021,consulting,3,18655,9687,8968,3363,9706,5120,3676,170,189,5776,11241,20882,10136,10746,19,91,3096
CONS021,consulting,4,19462,10101,9361,2744,10097,3676,6432,189,185,6054,9115,21786,10575,11211,-4,85,3111
CONS021,consulting,5,19887,10528,9359,2488,10534,6432,2434,185,191,5858,13778,22261,10805,11456,6,86,2946
CONS021,consulting,6,20336,10564,9772,4856,10550,2434,3278,191,177,6228,13081,22764,11049,11715,-14,78,3063
CONS021,consulting,7,20568,10656,9912,4914,10687,3278,2946,177,208,6252,13618,23024,11176,11848,31,90,3040
CONS021,consulting,8,20868,10852,10016,4019,10834,2946,6278,208,190,6433,10459,23360,11339,12021,-18,81,3083
CONS022,consulting,1,18836,10564,8272,3057,10564,3624,3695,242,242,3984,15635,23556,14292,9264,0,103,2115
CONS022,consulting,2,19081,10635,8446,4323,10665,3695,4049,242,272,4094,15448,23863,14478,9385,30,114,2146
CONS022,consulting,3,19247,10647,8600,3611,10627,4049,6236,272,252,4037,13545,24070,14603,9467,-20,105,2097
CONS022,consulting,4,19831,10952,8879,3822,10949,6236,6114,252,249,3888,14550,24801,15047,9754,-3,100,1961
CONS022,consulting,5,20239,11272,8967,3751,11307,6114,5510,249,284,4283,15234,25311,15356,9955,35,112,2116
CONS022,consulting,6,20547,11410,9137,4139,11396,5510,3598,284,270,4240,17588,25696,15590,10106,-14,105,2064
CONS022,consulting,7,20571,11525,9046,2728,11549,3598,8822,270,294,4279,12331,25726,15608,10118,24,114,2080
CONS022,consulting,8,20807,11569,9238,2906,11574,8822,7048,294,299,4084,14590,26021,15787,10234,5,115,1963
CONS023,consulting,1,13156,7954,5202,1864,7981,2498,2766,166,193,2640,7988,13587,7087,6500,27,142,2007
CONS023,consulting,2,13456,8120,5336,1494,8125,2766,1974,193,198,2864,8861,13897,7249,6648,5,142,2128
CONS023,consulting,3,13594,8113,5481,2610,8098,1974,4349,198,183,2872,6636,14040,7324,6716,-15,130,2113
CONS023,consulting,4,13855,8185,5670,1969,8186,4349,4920,183,184,2803,6402,14309,7464,6845,1,129,2023
CONS023,consulting,5,14223,8446,5777,2308,8454,4920,3415,184,192,3041,8041,14689,7662,7027,8,131,2138
CONS023,consulting,6,14889,8943,5946,1715,8958,3415,2982,192,207,3066,9122,15377,8021,7356,15,135,2059
CONS023,consulting,7,15303,9259,6044,2161,9276,2982,3388,207,224,3153,9040,15805,8244,7561,17,142,2060
CONS023,consulting,8,15700,9366,6334,2327,9374,3388,3145,224,232,3343,9495,16215,8458,7757,8,143,2129
CONS024,consulting,1,42255,23653,18602,8686,23707,8026,8338,538,592,10023,30560,49513,27242,22271,54,120,2372
CONS024,consulting,2,43720,24558,19162,8225,24639,8338,13859,592,673,11037,25660,51229,28186,23043,81,131,2524
CONS024,consulting,3,44372,24436,19936,8447,24410,13859,6078,673,647,11198,34070,51993,28607,23386,-26,124,2524
CONS024,consulting,4,44482,24685,19797,9365,24701,6078,16644,647,663,10428,24387,52122,28678,23444,16,127,2344
CONS024,consulting,5,45076,25170,19906,6951,25131,16644,16935,663,624,11252,24007,52818,29060,23758,-39,118,2496
CONS024,consulting,6,45749,25473,20276,9783,25505,16935,12588,624,656,10847,29516,53607,29495,24112,32,122,2371
CONS024,consulting,7,46774,25744,21030,6441,25820,12588,13898,656,732,11740,28438,54808,30155,24653,76,134,2510
CONS024,consulting,8,48672,27249,21423,8452,27200,13898,14106,732,683,12173,30070,57032,31379,25653,-49,120,2501
CONS025,consulting,1,27239,12733,14506,7431,12789,6830,7245,328,384,6376,16422,30427,18465,11962,56,126,2341
CONS025,consulting,2,28553,13655,14898,6490,13693,7245,4010,384,422,6725,20738,31895,19355,12540,38,132,2355
CONS025,consulting,3,29677,14022,15655,4799,14015,4010,6556,422,415,6849,19331,33151,20118,13033,-7,125,2308
CONS025,consulting,4,30257,14091,16166,8767,14109,6556,4526,415,433,7388,21452,33799,20511,13288,18,128,2442
CONS025,consulting,5,31157,14548,16609,6300,14574,4526,4337,433,459,7371,22637,34804,21121,13683,26,132,2366
CONS025,consulting,6,32131,14940,17191,7938,14973,4337,6746,459,492,7352,21302,35892,21781,14111,33,137,2288
CONS025,consulting,7,33637,16150,17487,4988,16171,6746,4842,492,513,8233,23986,37574,22802,14772,21,137,2448
CONS025,consulting,8,35437,16952,18485,7768,16954,4842,8167,513,515,8729,22174,39585,24022,15563,2,130,2463
CONS026,consulting,1,24154,13654,10500,5240,13655,6948,6689,213,214,7950,9923,24776,13872,10904,1,86,3291
CONS026,consulting,2,24922,13808,11114,5776,13802,6689,7610,214,208,8121,9625,25564,14313,11251,-6,81,3259
CONS026,consulting,3,25901,14480,11421,4094,14484,7610,4813,208,212,8359,13184,26568,14876,11692,4,80,3227
CONS026,consulting,4,26397,14929,11468,6069,14948,4813,6104,212,231,8551,12191,27077,15161,11916,19,85,3239
CONS026,consulting,5,26526,14968,11558,3648,14944,6104,5524,231,207,8873,12605,27209,15235,11974,-24,76,3345
CONS026,consulting,6,27385,15094,12291,3639,15102,5524,3248,207,215,8653,15974,28090,15728,12362,8,77,3160
CONS026,consulting,7,27912,15567,12345,5405,15602,3248,4061,215,250,9092,15228,28631,16031,12600,35,87,3257
CONS026,consulting,8,28905,16098,12807,4538,16104,4061,3497,250,256,9654,16242,29649,16601,13048,6,86,3340
CONS027,consulting,1,27672,16512,11160,4246,16559,8237,9320,360,407,8987,16106,34820,17015,17805,47,117,3248
CONS027,consulting,2,28670,17169,11501,4668,17152,9320,8008,407,390,9211,18467,36076,17629,18447,-17,108,3213
CONS027,consulting,3,29561,17321,12240,4609,17356,8008,4640,390,425,9485,22647,37197,18177,19020,35,114,3209
CONS027,consulting,4,30577,18291,12286,6689,18315,4640,8278,425,449,9550,20198,38475,18801,19674,24,117,3123
CONS027,consulting,5,32060,19051,13009,5782,19035,8278,11305,449,433,10508,18095,40341,19713,20628,-16,107,3278
CONS027,consulting,6,33286,19693,13593,4816,19763,11305,10672,433,503,10782,19927,41884,20467,21417,70,120,3239
CONS027,consulting,7,34677,20337,14340,7079,20324,10672,9672,503,490,11090,22382,43634,21322,22312,-13,112,3198
CONS027,consulting,8,36291,21575,14716,4258,21587,9672,6984,490,502,11839,26340,45665,22315,23350,12,110,3262
CONS028,consulting,1,22174,11853,10321,5314,11864,4742,5358,295,306,6957,9426,22047,8208,13839,11,139,3137
CONS028,consulting,2,22438,11893,10545,3612,11892,5358,2838,306,305,6925,12242,22310,8306,14004,-1,137,3086
CONS028,consulting,3,22912,12062,10850,5259,12065,2838,5731,305,308,7166,9576,22781,8482,14299,3,135,3128
CONS028,consulting,4,23766,12609,11157,3997,12649,5731,3239,308,348,7319,12724,23630,8798,14832,40,147,3080
CONS028,consulting,5,24552,13048,11504,3959,13037,3239,3770,348,337,7812,12493,24412,9089,15323,-11,138,3182
CONS028,consulting,6,24971,13252,11719,3759,13260,3770,6339,337,345,7754,10390,24828,9244,15584,8,139,3105
CONS028,consulting,7,25956,13750,12206,6709,13778,6339,5718,345,373,8319,11398,25808,9608,16200,28,145,3205
CONS028,consulting,8,27287,14276,13011,3570,14302,5718,2818,373,399,8524,15390,27131,10101,17030,26,147,3124
CONS029,consulting,1,37545,20952,16593,9100,20962,13065,14312,536,546,9091,20011,43960,17837,26123,10,124,2421
CONS029,consulting,2,37994,21176,16818,5943,21169,14312,10996,546,539,9269,23682,44486,18050,26436,-7,121,2440
CONS029,consulting,3,38414,21471,16943,9061,21447,10996,9688,539,515,8695,26080,44978,18250,26728,-24,115,2263
CONS029,consulting,4,39643,21833,17810,8791,21850,9688,8447,515,532,9066,28372,46417,18834,27583,17,115,2287
CONS029,consulting,5,41535,23235,18300,5867,23298,8447,8851,532,595,10029,29157,48632,19732,28900,63,122,2415
CONS029,consulting,6,43994,24523,19471,6346,24538,8851,15544,595,610,10287,25070,51511,20901,30610,15,118,2338
CONS029,consulting,7,46563,25870,20693,5200,25941,15544,13868,610,681,10683,29287,54519,22121,32398,71,125,2294
CONS029,consulting,8,49674,27869,21805,10749,27856,13868,8092,681,668,11701,37701,58162,23599,34563,-13,115,2356
CONS030,consulting,1,17819,9996,7823,4263,10019,3898,3767,242,265,4156,10133,18321,9622,8699,23,145,2332
CONS030,consulting,2,18160,10226,7934,3098,10234,3767,3022,265,273,4021,11356,18672,9806,8866,8,146,2214
CONS030,consulting,3,18357,10415,7942,4148,10404,3022,5586,273,262,4321,8706,18875,9913,8962,-11,139,2354
